fqdn,ip,prefix,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names,san_dns_names,not_valid_before,not_valid_after
sophie.oidji.nl,20.82.38.40,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,"CN=sophie.oidji.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",sophie.oidji.nl,sophie.oidji.nl,2022-11-23T08:07:06,2023-11-23T08:02:00
sslvpn.gemnet.nl,145.222.106.77,145.222.0.0/16,21286,"KPN-CORPORATE-MARKET, NL",NL,ripencc,2002-10-09,2001-10-16,"CN=sslvpn.gemnet.nl,O=KPN B.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",sslvpn.gemnet.nl,sslvpn.gemnet.nl,2022-11-21T13:59:37,2023-11-21T13:59:37
stelselcatalogus.nl,144.43.243.69,144.43.240.0/21,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,"CN=www.stelselcatalogus.nl,O=Logius,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",www.stelselcatalogus.nl,"www.stelselcatalogus.nl,opendata.stelselcatalogus.nl,stelselcatalogus.nl",2022-10-13T07:58:24,2023-10-13T07:53:00
sts.ota-dpo.nl,87.213.100.179,87.213.0.0/16,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2005-06-02,2000-03-27,"CN=sts.ota-dpo.nl,O=Defensie Pijpleiding Organisatie,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",sts.ota-dpo.nl,sts.ota-dpo.nl,2022-11-23T11:06:38,2023-12-01T23:45:00
telewerken.ota-dpo.nl,87.213.100.183,87.213.0.0/16,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2005-06-02,2000-03-27,"CN=telewerken.ota-dpo.nl,O=Defensie Pijpleiding Organisatie,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",telewerken.ota-dpo.nl,telewerken.ota-dpo.nl,2022-11-17T15:45:01,2023-11-17T15:40:00
tracing.dsh-dev.dsh.np.aws.kpn.com,34.243.239.247,34.240.0.0/13,16509,"AMAZON-02, US",US,arin,2016-09-12,2000-05-04,"CN=tracing.dsh-dev.dsh.np.aws.kpn.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",tracing.dsh-dev.dsh.np.aws.kpn.com,tracing.dsh-dev.dsh.np.aws.kpn.com,2022-10-28T08:21:04,2023-10-28T08:21:04
tracing.rvp-azure-dsh.kpn-dsh.com,FAILURE,,,,,,,,,,,,,
tracing.rvp.kpn-dsh.com,18.194.246.27,18.194.0.0/15,16509,"AMAZON-02, US",US,arin,2019-10-07,2000-05-04,"CN=tracing.rvp.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",tracing.rvp.kpn-dsh.com,tracing.rvp.kpn-dsh.com,2022-11-24T08:54:06,2023-11-24T08:54:06
tstmedmij-inlog.vzvz.nl,37.9.217.161,37.9.216.0/22,57626,"E-ZORG, NL",NL,ripencc,2011-12-15,2011-12-15,"CN=tstmedmij-inlog.vzvz.nl,O=VERENIGING van ZORGAANBIEDERS voor ZORGCOMMUNICATIE,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",tstmedmij-inlog.vzvz.nl,tstmedmij-inlog.vzvz.nl,2022-06-20T11:03:00,2023-06-20T11:07:00
tunnel01.mindef.nl,217.169.224.224,217.169.224.0/20,15466,"ASN-DTO Maasland Netherlands, NL",NL,ripencc,2001-03-27,2001-07-27,,,,,,
tunnel02.mindef.nl,217.169.224.229,217.169.224.0/20,15466,"ASN-DTO Maasland Netherlands, NL",NL,ripencc,2001-03-27,2001-07-27,,,,,,
upeu.minez.nl,145.12.218.76,145.12.0.0/16,203396,"MINEZ-DICTU, NL",NL,ripencc,1993-09-01,2016-01-27,"CN=upeu.minez.nl,O=Ministerie van Economische Zaken en Klimaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",upeu.minez.nl,upeu.minez.nl,2022-11-23T13:06:26,2023-11-23T13:01:00
verkoop.domeinenrz.nl,185.52.236.135,185.52.236.0/22,57866,"FUSIX-AS, NL",NL,ripencc,2014-04-03,2012-02-28,"CN=verkoop.domeinenrz.nl,O=Domeinen Roerende Zaken,L=Apeldoorn,ST=Gelderland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",verkoop.domeinenrz.nl,verkoop.domeinenrz.nl,2022-11-22T15:34:11,2023-11-22T15:34:11
vt.1ratio.nl,194.171.77.150,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1995-06-12,1993-09-01,,,,,,
vt-apps.duo.nl,194.171.77.144,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1995-06-12,1993-09-01,,,,,,
vt-digid.ib-groep.nl,194.171.77.15,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1995-06-12,1993-09-01,,,,,,
vt-siam.duo.nl,194.171.77.18,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1995-06-12,1993-09-01,,,,,,
webservices.acp.kvk.nl,176.117.57.125,176.117.57.0/24,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2012-05-15,2000-03-27,"CN=webservices.acp.kvk.nl,O=Kamer van Koophandel,L=Utrecht,ST=Utrecht,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",webservices.acp.kvk.nl,webservices.acp.kvk.nl,2022-10-25T09:19:54,2023-10-25T09:14:00
webservices.managedpki.com,80.79.96.211,80.79.96.0/20,21286,"KPN-CORPORATE-MARKET, NL",NL,ripencc,2001-07-11,2001-10-16,,,,,,
webservices.preprod.kvk.nl,176.117.57.67,176.117.57.0/24,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2012-05-15,2000-03-27,"CN=webservices.preprod.kvk.nl,O=Kamer van Koophandel,L=Utrecht,ST=Utrecht,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",webservices.preprod.kvk.nl,webservices.preprod.kvk.nl,2022-11-02T16:12:46,2023-11-02T16:07:00
werkplek.kvk.nl,176.117.57.156,176.117.57.0/24,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",NL,ripencc,2012-05-15,2000-03-27,"CN=werkplek.kvk.nl,O=Kamer van Koophandel,L=Utrecht,ST=Utrecht,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",werkplek.kvk.nl,werkplek.kvk.nl,2022-11-23T11:51:03,2023-11-23T11:45:00
wervinginformatiehuishouding.nl,82.161.224.223,82.161.0.0/16,3265,"XS4ALL-NL Amsterdam, NL",NL,ripencc,2003-07-14,1994-10-25,"CN=wervinginformatiehuishouding.nl,O=Ministerie van Onderwijs\, Cultuur en Wetenschap,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",wervinginformatiehuishouding.nl,"wervinginformatiehuishouding.nl,www.wervinginformatiehuishouding.nl",2022-11-16T15:57:20,2023-11-16T15:52:00
www.bics.nl,46.19.221.150,46.19.216.0/21,20559,"FUNDAMENTS-AS, NL",NL,ripencc,2010-11-18,2015-08-13,"CN=www.bics.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",www.bics.nl,www.bics.nl,2022-05-24T10:36:02,2023-05-24T10:42:00
www.bodemloket.nl,149.210.146.78,149.210.128.0/17,20857,"TRANSIP-AS Amsterdam, the Netherlands, NL",NL,ripencc,2011-08-17,2001-06-20,"CN=www.bodemloket.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",www.bodemloket.nl,www.bodemloket.nl,2022-10-14T06:55:06,2023-10-14T06:50:00
www.bromonitor.nl,147.181.12.252,147.181.12.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=bromonitor.nl,O=Stichting ICTU,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",bromonitor.nl,"bromonitor.nl,www.bromonitor.nl,acc.bromonitor.nl",2022-11-22T09:23:49,2023-11-22T09:18:00
www.dienstenportaal.nl,159.46.197.93,159.46.192.0/20,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,,,,
www.dronten.nl,87.233.198.3,87.233.192.0/18,15703,"TRUESERVER-AS TrueServer BV AS number, NL",NL,ripencc,2005-07-07,2000-09-19,"CN=www.dronten.nl,O=Gemeente Dronten,L=Dronten,ST=Flevoland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",www.dronten.nl,"openpub.dronten.nl,www.dronten.nl,openpdc.dronten.nl,dronten.nl",2022-11-08T15:38:36,2023-11-08T15:38:36
www.edisontd.nl,159.46.204.221,159.46.192.0/20,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,"CN=www.edisontd.nl,O=politie,2.5.4.97=NTRNL-57096317,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=57096317,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",www.edisontd.nl,"www.edisontd.nl,edisontd.nl,www.edisontdw.nl,edisontdw.nl",2022-10-24T11:43:25,2023-10-24T11:38:00
www.gebouwdin.amsterdam.nl,85.158.204.6,85.158.200.0/21,25151,"CYSO-AS, NL",NL,ripencc,2005-01-25,2002-08-09,,,,,,
www.meubelpensioen.nl,92.71.209.203,92.71.192.0/18,1136,"KPN KPN National, NL",NL,ripencc,2007-06-19,1993-09-01,"CN=www.meubelpensioen.nl,O=TKP Pensioen B.V.,ST=Groningen,C=NL","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.meubelpensioen.nl,"www.meubelpensioen.nl,meubelpensioen.nl",2022-11-15T00:00:00,2023-11-15T23:59:59
www.nationaaldeltacongres.nl,147.181.98.150,147.181.64.0/18,48037,"SSO-ICT, NL",NL,ripencc,1991-07-05,2008-10-02,"CN=www.nationaaldeltacongres.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G3,O=QuoVadis Limited,C=BM",www.nationaaldeltacongres.nl,"www.nationaaldeltacongres.nl,nationaaldeltacongres.nl",2022-11-24T09:52:13,2023-11-24T09:47:00
www.onderwijsinderegioincijfers.nl,82.161.224.223,82.161.0.0/16,3265,"XS4ALL-NL Amsterdam, NL",NL,ripencc,2003-07-14,1994-10-25,"CN=onderwijsinderegioincijfers.nl,O=Ministerie van Onderwijs\, Cultuur en Wetenschap,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",onderwijsinderegioincijfers.nl,"onderwijsinderegioincijfers.nl,www.onderwijsinderegioincijfers.nl,regioscanneronderwijs.nl,www.regioscanneronderwijs.nl",2022-08-30T13:46:17,2023-08-30T13:56:00
www.pensioenkappers.nl,92.71.209.203,92.71.192.0/18,1136,"KPN KPN National, NL",NL,ripencc,2007-06-19,1993-09-01,"CN=www.pensioenkappers.nl,O=TKP Pensioen B.V.,ST=Groningen,C=NL","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.pensioenkappers.nl,"www.pensioenkappers.nl,pensioenkappers.nl",2022-11-15T00:00:00,2023-11-15T23:59:59
www.phenc.nl,20.56.245.103,20.48.0.0/12,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,CN=www.phenc.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.phenc.nl,"www.phenc.nl,acc.phenc.nl,dev.phenc.nl,phenc.nl,tst.phenc.nl",2022-11-02T00:00:00,2023-12-03T23:59:59
www.rijkswaterstaatstrooit.nl,193.37.204.204,193.37.204.0/22,20559,"FUNDAMENTS-AS, NL",NL,ripencc,2018-10-22,2015-08-13,"CN=rijkswaterstaatstrooit.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",rijkswaterstaatstrooit.nl,"rijkswaterstaatstrooit.nl,www.rijkswaterstaatstrooit.nl",2022-11-21T20:06:41,2023-11-21T20:01:00
www.schadefonds.nl,167.71.75.16,167.71.64.0/20,14061,"DIGITALOCEAN-ASN, US",US,arin,2019-04-24,2012-09-25,"CN=schadefonds.nl,O=Schadefonds Geweldsmisdrijven,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",schadefonds.nl,"schadefonds.nl,www.schadefonds.nl",2022-11-24T11:25:28,2023-11-24T11:20:00
www.stelselcatalogus.nl,144.43.243.69,144.43.240.0/21,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,"CN=www.stelselcatalogus.nl,O=Logius,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",www.stelselcatalogus.nl,"www.stelselcatalogus.nl,opendata.stelselcatalogus.nl,stelselcatalogus.nl",2022-10-13T07:58:24,2023-10-13T07:53:00
www.toezichtresultaten.nl,147.181.6.154,147.181.4.0/22,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=toezichtresultaten.nl,O=Ministerie van Onderwijs\, Cultuur en Wetenschap,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",toezichtresultaten.nl,"toezichtresultaten.nl,www.toezichtresultaten.nl",2022-09-07T12:48:02,2023-09-07T12:43:00
xbrlonderwijsportaal.nl,82.161.224.223,82.161.0.0/16,3265,"XS4ALL-NL Amsterdam, NL",NL,ripencc,2003-07-14,1994-10-25,"CN=xbrlonderwijsportaal.nl,O=Ministerie van Onderwijs\, Cultuur en Wetenschap,L=Den Haag,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",xbrlonderwijsportaal.nl,"xbrlonderwijsportaal.nl,www.xbrlonderwijsportaal.nl",2022-11-16T15:58:23,2023-11-16T15:53:00
accaanvraag.senzer.nl,194.53.75.202,194.53.72.0/22,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=accaanvraag.senzer.nl,C=NL,ST=Noord-Brabant,L=Helmond,O=Senzer","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",accaanvraag.senzer.nl,accaanvraag.senzer.nl,2022-11-22T14:20:43,2023-11-22T14:20:43
acc-cms.digid.nl,93.92.103.94,93.92.100.0/22,24586,"NL-INTERMAX Intermax Cloudsourcing B.V., NL",NL,ripencc,2008-01-29,2002-01-09,,,,,,
acc.digid.nl,93.92.103.94,93.92.100.0/22,24586,"NL-INTERMAX Intermax Cloudsourcing B.V., NL",NL,ripencc,2008-01-29,2002-01-09,,,,,,
acceptatie.eemsdelta.nl,185.135.12.25,185.135.12.0/23,34762,"COMBELL-AS, BE",BE,ripencc,2016-01-19,2005-03-31,"CN=acceptatie.eemsdelta.nl,O=Gemeente Eemsdelta,STREET=Wilhelminaweg 14,L=Appingedam,ST=Groningen,C=NL,1.3.6.1.4.1.311.60.2.1.3=NL,2.5.4.5=81425570,2.5.4.15=Government Entity","CN=GlobalSign Extended Validation CA - SHA256 - G3,O=GlobalSign nv-sa,C=BE",acceptatie.eemsdelta.nl,acceptatie.eemsdelta.nl,2022-11-23T13:53:18,2023-12-25T13:53:17
acceptatie.efro-webportal.nl,20.76.151.119,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,"ST=Noord-Brabant,CN=acceptatie.efro-webportal.nl,O=Provincie Noord-Brabant,L=s-Hertogenbosch,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",acceptatie.efro-webportal.nl,acceptatie.efro-webportal.nl,2022-11-15T10:43:23,2023-11-15T10:43:23
acceptatie.meldingen.klopt.cibg.nl,18.185.50.213,18.184.0.0/15,16509,"AMAZON-02, US",US,arin,2019-10-07,2000-05-04,CN=*.betswap.gg,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",*.betswap.gg,*.betswap.gg,2022-01-24T00:00:00,2023-02-22T23:59:59
acc-geo.rijkswaterstaat.nl,131.237.78.146,131.237.78.0/24,42894,"MINVENW-RWS MinVenW-Rijkswaterstaat Backbone, NL",NL,ripencc,1992-01-01,2007-05-08,"CN=acc-geo.rijkswaterstaat.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",acc-geo.rijkswaterstaat.nl,"acc-geo.rijkswaterstaat.nl,acc-geo.rws.nl",2022-11-07T13:54:12,2023-11-07T13:49:00
acc-maps.rijkswaterstaat.nl,131.237.78.162,131.237.78.0/24,42894,"MINVENW-RWS MinVenW-Rijkswaterstaat Backbone, NL",NL,ripencc,1992-01-01,2007-05-08,"CN=acc-maps.rijkswaterstaat.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",acc-maps.rijkswaterstaat.nl,"acc-maps.rijkswaterstaat.nl,acc-maps.rws.nl",2022-11-07T13:54:18,2023-11-07T13:49:00
acc.stelselvanbasisregistraties.nl,144.43.241.101,144.43.240.0/21,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,,,,
dacceptatieloket.oostgelre.nl,87.249.120.32,87.249.96.0/19,47886,"EQUINIX-NL-ASN, NL",NL,ripencc,2005-08-26,2008-09-11,"CN=dacceptatieloket.oostgelre.nl,O=Gemeente Oost Gelre,ST=Gelderland,C=NL,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL,2.5.4.5=09212525","CN=Sectigo RSA Extended Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",dacceptatieloket.oostgelre.nl,dacceptatieloket.oostgelre.nl,2022-11-10T00:00:00,2023-11-10T23:59:59
disc.eid-acc.kpn.com,145.222.106.168,145.222.0.0/16,21286,"KPN-CORPORATE-MARKET, NL",NL,ripencc,2002-10-09,2001-10-16,"CN=eid-acc.kpn.com,O=KPN B.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",eid-acc.kpn.com,"idp.eid-acc.kpn.com,aip.eid-acc.kpn.com,eid-acc.kpn.com,brk.eid-acc.kpn.com",2022-08-09T12:34:24,2023-08-09T12:34:24
loket.acceptatie.steenwijkerland.nl,37.200.85.35,37.200.85.0/24,213208,"ROXIT, NL",NL,ripencc,2020-05-04,2020-05-20,CN=inproces.acceptatie.steenwijkerland.nl,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",inproces.acceptatie.steenwijkerland.nl,"inproces.acceptatie.steenwijkerland.nl,zaken.acceptatie.steenwijkerland.nl,app.acceptatie.steenwijkerland.nl,connect.acceptatie.steenwijkerland.nl,contentbeheer.acceptatie.steenwijkerland.nl,loket.acceptatie.steenwijkerland.nl",2022-03-15T15:08:14,2023-04-16T15:08:13
loket-acc.gemeentehulst.nl,217.119.229.92,217.119.224.0/20,16350,"ECHELON-AS Institutenweg 38, NL",NL,ripencc,2001-02-16,2001-03-08,CN=loket-acc.gemeentehulst.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",loket-acc.gemeentehulst.nl,loket-acc.gemeentehulst.nl,2022-11-18T00:00:00,2023-11-18T23:59:59
mijnmaxima-acc.prinsesmaximacentrum.nl,194.171.216.22,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,ripencc,1995-06-12,1993-09-01,"CN=mijnmaxima-acc.prinsesmaximacentrum.nl,O=Prinses Máxima Centrum voor Kinderoncologie B.V.,ST=Utrecht,C=NL","CN=GEANT OV RSA CA 4,O=GEANT Vereniging,C=NL",mijnmaxima-acc.prinsesmaximacentrum.nl,mijnmaxima-acc.prinsesmaximacentrum.nl,2022-11-21T00:00:00,2023-11-21T23:59:59
netflix.vgw.acc.kpn.com,213.75.2.60,213.75.0.0/17,8737,"PT, NL",NL,ripencc,2000-04-06,1998-03-31,"CN=netflix.vgw.acc.kpn.com,O=Koninklijke KPN N.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",netflix.vgw.acc.kpn.com,netflix.vgw.acc.kpn.com,2022-11-23T13:24:50,2023-11-23T13:24:50
proxy.acc.kpndrm.nl,195.121.72.74,195.121.64.0/18,8737,"PT, NL",NL,ripencc,1999-01-11,1998-03-31,"CN=*.rtd.k8s.tst.itv.local,OU=CTDO SP iTV,O=KPN N.V.,L=Rotterdam,ST=Zuid-Holland,C=NL","CN=KPN N.V. Private CA G2,O=Koninklijke KPN N.V.,C=NL",*.rtd.k8s.tst.itv.local,"*.rtd.k8s.acc.itv.local,*.asd.k8s.acc.itv.local,*.asd.k8s.tst.itv.local,*.rtd.k8s.tst.itv.local",2022-04-20T08:54:35,2024-04-19T08:54:34
portaaltest.ggdhm.nl,185.180.97.143,185.180.96.0/22,31477,"DUOCAST-AS, NL",NL,ripencc,2016-12-05,2004-05-26,CN=portaaltest.ggdhm.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",portaaltest.ggdhm.nl,"portaaltest.ggdhm.nl,www.portaaltest.ggdhm.nl",2022-11-22T00:00:00,2023-11-22T23:59:59
test.afspraakmaken.dronten.nl,90.145.212.144,90.145.0.0/16,29396,"EUROFIBER-UNET EUROFIBER, NL",NL,ripencc,2006-11-17,2003-08-28,"CN=test.afspraakmaken.dronten.nl,O=Gemeente Dronten,L=Dronten,C=NL,ST=Flevoland","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",test.afspraakmaken.dronten.nl,test.afspraakmaken.dronten.nl,2022-11-15T14:12:58,2023-11-15T14:12:58
test.digid.nl,93.92.103.94,93.92.100.0/22,24586,"NL-INTERMAX Intermax Cloudsourcing B.V., NL",NL,ripencc,2008-01-29,2002-01-09,,,,,,
testinternet.zorg-id.nl,89.221.191.2,89.221.184.0/21,41696,"RAM-, NL",NL,ripencc,2006-10-09,2006-10-10,,,,,,
test-ipa.beesel.nl,45.80.232.31,45.80.232.0/22,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",NL,ripencc,2019-05-16,2000-10-26,"CN=test-ipa.beesel.nl,O=Gemeente Beesel,C=NL,ST=Limburg,L=Reuver","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",test-ipa.beesel.nl,test-ipa.beesel.nl,2022-11-23T10:35:42,2023-11-23T10:35:42
test.loket.oss.nl,217.119.231.45,217.119.224.0/20,16350,"ECHELON-AS Institutenweg 38, NL",NL,ripencc,2001-02-16,2001-03-08,"CN=test.loket.oss.nl,O=Gemeente Oss,L=Oss,ST=Noord-Brabant,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",test.loket.oss.nl,test.loket.oss.nl,2022-11-08T14:05:41,2023-11-08T14:00:00
testzorgnet.zorg-id.nl,89.221.191.6,89.221.184.0/21,41696,"RAM-, NL",NL,ripencc,2006-10-09,2006-10-10,,,,,,
preprod-dgp2.procesinfrastructuur.nl,144.43.253.7,144.43.252.0/22,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,,,,
preprod-globe-portaal-internet.procesinfrastructuur.nl,144.43.241.235,144.43.240.0/21,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,,,,
preprodid.flevoland.nl,185.63.152.91,185.63.152.0/22,12859,"NL-BIT BIT BV, NL",NL,ripencc,2014-07-11,1999-12-15,CN=preprodid.flevoland.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",preprodid.flevoland.nl,preprodid.flevoland.nl,2022-11-24T00:00:00,2023-11-24T23:59:59
preprod-mijninkomen.fijnder.nl,194.53.73.126,194.53.72.0/22,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=preprod-mijninkomen.fijnder.nl,C=NL,ST=Gelderland,L=Groenlo,O=Fijnder","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",preprod-mijninkomen.fijnder.nl,preprod-mijninkomen.fijnder.nl,2022-11-11T09:24:32,2023-11-11T09:24:32
preprod-mijnoverzicht.sint-michielsgestel.nl,194.53.73.126,194.53.72.0/22,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=preprod-mijnoverzicht.sint-michielsgestel.nl,O=Gemeente Sint-Michielsgestel,ST=Noord-Brabant,C=NL","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",preprod-mijnoverzicht.sint-michielsgestel.nl,preprod-mijnoverzicht.sint-michielsgestel.nl,2022-11-23T00:00:00,2023-11-23T23:59:59
